index,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,AHCh,B365CAHH,B365CAHA
266,03/03/2024,Man City,Man United,3,1,1.25,5.75,11,-1.75,1.98,1.95
267,04/03/2024,Sheffield United,Arsenal,0,6,17,7,1.18,2,1.9,2
268,09/03/2024,Man United,Everton,2,0,1.83,3.6,4,-0.5,1.95,1.98
269,09/03/2024,Bournemouth,Sheffield United,2,2,1.33,5.25,8,-1.5,1.93,2
270,09/03/2024,Crystal Palace,Luton,1,1,1.75,3.8,4.2,-0.5,1.93,2
271,09/03/2024,Wolves,Fulham,2,1,2.5,3.4,2.75,0,1.82,2.08
272,09/03/2024,Arsenal,Brentford,2,1,1.22,7,11,-2,2.03,1.78
273,10/03/2024,Aston Villa,Tottenham,0,4,2.38,4,2.6,0,1.9,2.03
274,10/03/2024,Brighton,Nott'm Forest,1,0,1.8,4,4,-0.75,1.75,2.05
275,10/03/2024,West Ham,Burnley,2,2,1.67,4,4.75,-0.75,1.85,2.08
276,10/03/2024,Liverpool,Man City,1,1,3,3.75,2.2,0.5,1.86,2.07
277,11/03/2024,Chelsea,Newcastle,3,2,1.91,4,3.6,-0.75,2.08,1.85
278,13/03/2024,Bournemouth,Luton,4,3,1.5,4.75,5.75,-1,1.84,2.06
279,16/03/2024,Burnley,Brentford,2,1,3.25,3.6,2.15,0.25,1.95,1.95
280,16/03/2024,Luton,Nott'm Forest,1,1,2.8,3.5,2.45,0,1.95,1.95
281,16/03/2024,Fulham,Tottenham,3,0,3.5,3.8,1.95,0.5,1.86,2.04
282,17/03/2024,West Ham,Aston Villa,1,1,2.63,3.75,2.45,0,1.83,2.1
283,30/03/2024,Newcastle,West Ham,4,3,1.83,4.2,3.8,-0.75,2.03,1.78
284,30/03/2024,Bournemouth,Everton,2,1,2.2,3.6,3.2,-0.25,1.93,2
285,30/03/2024,Chelsea,Burnley,2,2,1.29,6,9.5,-1.75,1.95,1.98
286,30/03/2024,Nott'm Forest,Crystal Palace,1,1,2.2,3.3,3.4,-0.25,1.94,1.99
287,30/03/2024,Sheffield United,Fulham,3,3,4.5,4,1.73,0.75,2.02,1.91
